Country Name,GDP (PPP in constant 2011 International $)
Aruba,
Andorra,
Afghanistan,59208240775
Angola,1.73578E+11
Albania,30039499618
Arab World,6.05637E+12
United Arab Emirates,6.05295E+11
Argentina,
Armenia,23837765356
American Samoa,
Antigua and Barbuda,1984674229
Australia,1.03816E+12
Austria,3.77964E+11
Azerbaijan,1.61133E+11
Burundi,7743347156
Belgium,4.64276E+11
Benin,21603139183
Burkina Faso,28272244333
Bangladesh,5.04973E+11
Bulgaria,1.21713E+11
Bahrain,60849136978
The Bahams,8689419151
Bosnia and Herzegovina,38193934064
Belarus,1.58116E+11
Belize,2883222249
Bermuda,
Bolivia,69450417279
Brazil,3.00442E+12
Barbados,4384225789
Brunei Darussalam,28204280733
Bhutan,5889768672
Botswana,33657477419
Central African Republic,2754899602
Canada,1.53771E+12
Central Europe and the Baltics,2.4676E+12
Switzerland,4.56712E+11
Channel Islands,
Chile,3.97463E+11
China,1.83747E+13
Cote d'Ivoire,74687847806
Cameroon,68603317984
Republic of the Congo,27690345067
Colombia,6.26402E+11
Comoros,
Cabo Verde,3277029284
Costa Rica,69578178299
Caribbean small states,1.03404E+11
Cuba,
Curacao,
Cayman Islands,
Cyprus,25506982262
Czech Republic,3.14483E+11
Germany,3.5865E+12
Djibouti,
Dominica,771415375.4
Denmark,2.46425E+11
Dominican Republic,1.40816E+11
Algeria,5.48293E+11
East Asia & Pacific (excluding high income),2.4458E+13
Early-demographic dividend,2.54195E+13
East Asia & Pacific,3.38625E+13
Europe & Central Asia (excluding high income),7.1598E+12
Europe & Central Asia,2.55112E+13
Ecuador,1.73029E+11
Egypt,9.37954E+11
Euro area,1.27238E+13
Eritrea,
Spain,1.52319E+12
Estonia,35331665355
Ethiopia,1.52057E+11
European Union,1.80346E+13
Fragile and conflict affected situations,1.71061E+12
Finland,2.1184E+11
Fiji,7690010689
France,2.49233E+12
Faroe Islands,
Micronesia,
Gabon,32490528556
United Kingdom,2.5181E+12
Georgia,33512956418
Ghana,1.08357E+11
Gibraltar,
Guinea,14316884358
The Gambia,
Guinea-Bissau,2521743553
Equatorial Guinea,23891363296
Greece,2.66448E+11
Grenada,1303630848
Greenland,
Guatemala,1.18534E+11
Guam,
Guyana,5419033646
High income,5.01716E+13
Hong Kong SAR-China,3.89976E+11
Honduras,38639858987
Heavily indebted poor countries (HIPC),1.47993E+12
Croatia,86304542917
Haiti,17763374929
Hungary,2.40944E+11
IBRD only,5.28927E+13
IDA & IBRD total,5.84921E+13
IDA total,5.65507E+12
IDA blend,3.12706E+12
Indonesia,2.67488E+12
IDA only,2.50366E+12
Isle of Man,
India,7.5125E+12
Not classified,
Ireland,2.40849E+11
Iran- Islamic Rep.,
Iraq,5.10575E+11
Iceland,14043167433
Israel,2.65413E+11
Italy,2.04217E+12
Jamaica,23249268199
Jordan,77765611605
Japan,4.54565E+12
Kazakhstan,4.27249E+11
Kenya,1.33593E+11
Kyrgyz Republic,19210595943
Cambodia,51067798981
Kiribati,196650814.8
St. Kitts and Nevis,1274513838
Korea- Rep.,1.74055E+12
Kosovo,16426142369
Kuwait,2.61211E+11
Latin America & Caribbean (excluding high income),7.69891E+12
Lao PDR,36331699319
Lebanon,76745662809
Liberia,3543830556
Libya,83633981310
St. Lucia,1913549042
Latin America & Caribbean,9.27361E+12
Least developed countries: UN classification,2.2408E+12
Low income,9.88019E+11
Liechtenstein,
Sri Lanka,2.31625E+11
Lower middle income,1.76964E+13
Low & middle income,5.63258E+13
Lesotho,
Late-demographic dividend,3.3487E+13
Lithuania,76820139088
Luxembourg,53294673438
Latvia,44769005423
Macao SAR- China,61533079342
St. Martin (French part),
Morocco,2.57262E+11
Monaco,
Moldova,16853155911
Madagascar,33283527996
Maldives,4865954129
Middle East & North Africa,7.47782E+12
Mexico,2.09603E+12
Marshall Islands,
Middle income,5.53453E+13
Macedonia- FYR,26447639513
Mali,40220707706
Malta,
Myanmar,
Middle East & North Africa (excluding high income),
Montenegro,9342345718
Mongolia,33943944574
Northern Mariana Islands,
Mozambique,31223091064
Mauritania,
Mauritius,23147868016
Malawi,19160334615
Malaysia,7.67618E+11
North America,1.84314E+13
Namibia,24098451756
New Caledonia,
Niger,17857377171
Nigeria,1.02742E+12
Nicaragua,29705561220
Netherlands,7.8542E+11
Norway,3.3488E+11
Nepal,65963387654
Nauru,
New Zealand,1.59757E+11
OECD members,4.82397E+13
Oman,1.61582E+11
Other small states,6.74246E+11
Pakistan,8.9642E+11
Panama,82061443521
Peru,3.66233E+11
Philippines,6.97396E+11
Palau,306291661.9
Papua New Guinea,
Poland,9.43752E+11
Pre-demographic dividend,2.93146E+12
Puerto Rico,
Korea- Dem. People’s Rep.,
Portugal,2.76206E+11
Paraguay,57386505367
Pacific island small states,12570919883
Post-demographic dividend,4.45561E+13
French Polynesia,
Qatar,3.02492E+11
Romania,3.95171E+11
Russian Federation,3.49842E+12
Rwanda,19216033048
South Asia,9.28145E+12
Saudi Arabia,1.58598E+12
Sudan,1.58022E+11
Senegal,34610760487
Singapore,4.4386E+11
Solomon Islands,1200770993
Sierra Leone,9660056155
El Salvador,49598114047
San Marino,
Somalia,
Serbia,91305314091
Sub-Saharan Africa (excluding high income),3.47831E+12
South Sudan,21484823398
Sub-Saharan Africa,3.48069E+12
Small states,7.90021E+11
Sao Tome and Principe,
Suriname,8671497144
Slovak Republic,1.48587E+11
Slovenia,59729296626
Sweden,4.43854E+11
Swaziland,10206132998
Sint Maarten (Dutch part),
Seychelles,2384515771
Syrian Arab Republic,
Turks and Caicos Islands,
Chad,28686194920
East Asia & Pacific (IDA & IBRD countries),2.44114E+13
Europe & Central Asia (IDA & IBRD countries),8.18985E+12
Togo,10035327792
Thailand,1.04286E+12
Tajikistan,22190155022
Turkmenistan,83436536078
Latin America & the Caribbean (IDA & IBRD countries),8.882E+12
Middle East & North Africa (IDA & IBRD countries),
Timor-Leste,2646956284
Tonga,
South Asia (IDA & IBRD),9.28145E+12
Sub-Saharan Africa (IDA & IBRD countries),3.48069E+12
Trinidad and Tobago,41723643327
Tunisia,1.19144E+11
Turkey,1.4914E+12
Tuvalu,
Tanzania,1.30308E+11
Uganda,67050967504
Ukraine,3.19185E+11
Upper middle income,3.77778E+13
Uruguay,68467254392
United States,1.68902E+13
Uzbekistan,1.76618E+11
St. Vincent and the Grenadines,1136115567
Venezuela- RB,4.85376E+11
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,5.19777E+11
Vanuatu,
West Bank and Gaza,20850070908
World,1.07277E+14
Samoa,1077065956
Rep. of Yemen,
South Africa,6.80914E+11
Dem. Rep. of Congo,56920935460
Zambia,59295499325
Zimbabwe,26337069607
